ActName, ActYear, File Names
Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Maharashtra Amendment) Act, 2018
Maharashtra Legislative Council (Chairman and Deputy Chairman) and Maharashtra Legislative Assembly (Speaker and Deputy Speaker) Salaries and Allowances (Amendment) Act, 2000
Maharashtra Entertainments Duty (Amendment and Continuance) Act, 2014
Bombay Sales Tax Act, 1959, 2008_C_304.txt, 1975_B_2.txt, 2016_A_131.txt, 1994_B_123.txt, 1981_C_14.txt, 1996_U_69.txt, 2007_C_103.txt, 1979_P_14.txt, 1973_S_49.txt, 1997_C_239.txt, 1992_C_96.txt, 2002_S_30.txt, 1965_C_85.txt, 1970_C_10.txt, 2005_M_69.txt, 2016_J_32.txt, 2004_S_666.txt, 1988_K_43.txt, 1996_T_218.txt, 1981_D_10.txt, 1989_S_189.txt, 1972_P_20.txt, 1998_S_64.txt, 1990_J_39.txt, 1998_S_96.txt, 1972_S_200.txt, 1981_S_93.txt, 1980_U_8.txt, 1976_M_55.txt, 1997_C_358.txt, 2013_P_14.txt, 1991_S_5.txt, 1977_V_1.txt, 2005_S_501.txt, 1993_A_56.txt, 2002_M_73.txt, 2000_B_101.txt, 2017_S_436.txt, 1996_S_1149.txt, 1994_S_383.txt, 2006_G_52.txt, 2015_S_318.txt, 1988_S_224.txt, 2017_S_144.txt, 1996_R_169.txt, 2013_U_96.txt, 2015_C_73.txt, 1990_K_31.txt, 1999_S_568.txt, 1977_A_9.txt, 1988_A_63.txt, 1993_R_122.txt, 1992_M_84.txt, 2016_D_161.txt, 1989_H_22.txt, 1984_G_6.txt, 1992_B_60.txt, 1994_S_286.txt, 1986_D_28.txt, 1966_S_10.txt, 2015_S_35.txt, 2009_S_1294.txt, 1969_C_90.txt, 1994_S_177.txt, 2009_S_885.txt, 1985_T_32.txt, 1969_M_29.txt, 2009_M_162.txt, 1997_C_240.txt
Bombay Government Premises (Eviction) (Amendment) Act, 2007
Maharashtra Universities (Second Amendment) Act, 2002
Mumbai Municipal Corporation (Amendment) Act, 2018
City of Nagpur Corporation (Amendment) Act, 2004
Bombay Fodder and Grain Control Act, 1939
Maharashtra Village Panchayats and Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2017
Bombay Tenancy and Agricultural Lands Act, 1948, 1995_D_51.txt, 1968_M_19.txt, 1961_T_69.txt, 2004_H_13.txt, 1999_A_68.txt, 1989_P_27.txt, 1987_V_20.txt, 1994_M_69.txt, 2014_G_32.txt, 1958_T_21.txt, 1961_A_5.txt, 2009_N_44.txt, 1983_N_11.txt, 1965_H_9.txt, 1996_S_325.txt, 1986_F_2.txt, 1962_R_41.txt, 1961_P_24.txt, 1990_P_59.txt, 1960_T_86.txt, 1978_M_16.txt, 1986_D_11.txt, 1992_K_59.txt, 2012_S_281.txt, 1960_V_2.txt, 1964_K_27.txt, 1995_V_21.txt, 1964_N_10.txt, 1996_N_125.txt, 1996_G_18.txt, 2004_V_18.txt, 1968_J_9.txt, 1987_S_199.txt, 1993_C_129.txt, 1998_S_8.txt, 1999_G_18.txt, 1997_N_20.txt, 1968_R_26.txt, 2009_S_38.txt, 1980_U_22.txt, 1978_G_19.txt, 1994_M_75.txt, 2008_S_517.txt, 1985_A_4.txt, 1965_B_32.txt, 1996_M_129.txt, 1971_A_55.txt, 1989_T_22.txt, 1982_S_74.txt, 2014_N_12.txt, 1990_G_35.txt, 1965_K_18.txt, 1988_P_23.txt, 1967_S_121.txt, 1983_K_27.txt, 1986_J_17.txt, 1991_G_10.txt, 2008_N_43.txt, 2007_N_108.txt, 1976_G_32.txt, 1993_N_17.txt, 1977_T_35.txt, 2003_H_64.txt, 1974_A_4.txt, 1979_B_29.txt, 2008_N_168.txt, 1997_S_75.txt, 1986_S_9.txt, 1980_D_1.txt, 1967_M_53.txt, 2009_G_23.txt, 2002_D_13.txt, 1976_M_33.txt, 1996_D_99.txt, 1995_D_9.txt, 1978_N_20.txt, 1959_S_17.txt, 1979_K_15.txt, 1974_D_27.txt, 2014_U_104.txt, 2004_V_87.txt, 1983_K_15.txt, 1996_N_31.txt, 1965_M_74.txt, 1998_S_110.txt, 2003_S_166.txt, 1985_S_50.txt, 1973_M_55.txt, 2013_G_54.txt, 1994_B_23.txt, 1970_P_14.txt, 1993_D_13.txt, 1991_L_9.txt, 1998_K_91.txt, 2003_C_49.txt, 1978_R_33.txt, 1974_D_12.txt, 1995_D_63.txt, 1995_V_51.txt, 1996_D_32.txt, 2003_D_16.txt, 1996_K_51.txt, 2007_C_76.txt, 1996_F_7.txt, 2003_B_21.txt, 2001_T_70.txt, 1995_B_28.txt, 1971_M_46.txt, 1991_H_26.txt, 2000_J_21.txt, 2005_C_68.txt, 1998_W_2.txt, 2007_S_187.txt, 1983_P_10.txt, 1992_T_22.txt, 1963_S_44.txt, 1962_M_50.txt, 1980_S_289.txt, 1992_K_73.txt, 1992_H_33.txt, 2003_M_95.txt, 1964_N_7.txt, 1993_K_82.txt, 1981_S_66.txt, 1964_S_34.txt, 2014_S_211.txt, 2008_M_319.txt, 2005_D_34.txt, 1979_S_39.txt, 1975_T_65.txt, 1980_M_43.txt, 1961_A_4.txt
Maharashtra Municipal Councils, Nagar Panchayats and Industrial Townships (Second Amendment) Act, 2006
Mumbai Municipal Corporation (Second Amendment) Act, 2005
Bombay Village Panchayats and Maharashtra Zilla Parishads and Panchayat Samitis (Second Amendment) Act, 2010
Maharashtra Zilla Parishads and Panchayat Samitis (Amendment) Act, 2000
Maharashtra (Second Supplementary) Appropriation Act, 2015
Bombay Motor Vehicles Tax (Amendment) Act, 2005
Maharashtra Fire Prevention and Life Safety Measures Act, 2006, 2013_K_60.txt
Tuljapur Development Authority Act, 2008
Maharashtra State Council for Occupational Therapy and Physiotherapy (Amendment) Act, 2005
Maharashtra Tax on Buildings (with larger Residential Premises) (Re-enacted) Act, 1979
Maharashtra Prevention and Eradication of Human Sacrifice and other Inhuman, Evil and Aghori Practices and Black Magic Act, 2013
Maharashtra Scheduled Castes, Scheduled Tribes, De-notified Tribes, (Vimukta Jatis), Nomadic Tribes, Other Backward Classes and Special Backward Category Regulation of Issuance and Verification of Caste Certificate Act, 2000
Maharashtra Appropriation (Vote on Account) Act, 2015
Maharashtra Project Affected Persons Rehabilitation Act, 1999
Bombay Industrial Relations (Amendment) Act, 2004
Maharashtra Municipal Corporations, Municipal Councils and Maharashtra Regional and Town Planning (Amendment) Act, 2010
Shree Sai Baba Sansthan Trust (Shirdi) (Amendment) Act, 2004
Maharashtra Education and Employment Guarantee (Cess) (Amendment) Act, 2006
Maharashtra Animal Preservation Act, 1976
Maharashtra Educational Institutions (Prohibition of Capitation Fee) Act, 1987, 2001_S_935.txt, 2017_S_455.txt
Maharashtra University of Health Sciences (Amendment) Act, 2005
Maharashtra Textile Companies (Acquisition and Transfer of Undertakings) Act, 1982
Maharashtra Provincial Collection of Taxes Act, 1962
Bombay Landing and Wharfage Fees Act, 1882
Maharashtra Provisional Collection of Taxes Act, 1962
