Act_Name, Year, File_Name,
Madhya Pradesh Profession Tax (Vritti Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 1999,	
Madhya Pradesh Govansh Vadh Pratishedh Adhiniyam, 2004,	
Madhya Pradesh Lokayukt Evam Up-Lokayukt Adhiniyam, 1981,	
Madhya Pradesh Madhyamik Shiksha (Vishesh Upbandh) Act, 1969,	
Madhya Pradesh Tuberculosis Sanatorium (Regulation of Buildings) Act, 1948,	
Madhya Pradesh Gram Swachhta Tatha Lok Prabandh Nirsan Adhiniyam, 1965,	
Madhya Pradesh Uchcha Nyayalaya (Khand Nyaypeeth Ko Appeal) Sanshodhan Adhiniyam, 2013,	
Madhya Pradesh Gramo Me Ki Dakhalrahit Bhoomi (Vishesh Upabandh) Adhiniyam, 1970,	
Madhya Pradesh Nagariya Kshetron Ke Bhoomihin Vyakti (Pattadhriti Adhikaron Ka Pradan Kiya Jana) Adhiniyam, 1984,	
Madhya Pradesh Krishi Prayojan Ke Liye Upayog Ki Ja Rahi Dakhal Rahit Bhoomi Par Bhoomiswami Adhikaron Ka Pradan Kiya Jana (Vishesh Upabandh) Adhiniyam, 1984,	
Indira Kala Sangit Vishwavidyalaya Act, 1956,	 2014_S_326.txt	
Samrat Ashok Technological Institute (Degree) Vidisha (Prabandh Grahan) Adhiniyam, 1987,	
Madhya Pradesh Krishi Upaj Mandi (Tritiya Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh Commercial Tax (Vanijyik Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 2000,	
Madhya Pradesh Shri Ganapati Mandir Khajrana, (Indore) Adhiniyam,	 2003	
Madhya Pradesh Vritti Kar (Sanshodhan) Adhiniyam, 2016,	
Madhya Pradesh Land Revenue Code (Amendment) Act, 2013,	
Madhya Pradesh Cotton (Statistics) Act, 1947,	
Madhya Pradesh Entry Tax (Sthaniya Kshetra Me Mal Ke Pravesh Par Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 1999,	
Rashtriya Vidhi Sansthan Vishwavidyalaya Act, 1997,	
Madhya Pradesh Jal Viniyaman Adhiniyam, 2013,	
Madhya Pradesh General Sales Tax (Amendment and Validation) Act, 1970,	
Madhya Pradesh National Parks Act, 1955,	
Madhya Pradesh Cattle Diseases Act, 1934,	
Madhya Pradesh Appropriation Act, 2016,	
Commissions of Inquiry (Madhya Pradesh Amendment) Act, 1966,	
Madhya Pradesh Niji Vishwavidyalaya (Sthapana Avam Sanchalan) Tritiya Sanshodhan Adhiniyam, 2016,	
Madhya Pradesh Vas-sthan Dakhalkar (Bhumiswami Adhikaron Ka Pradan Kiya Jana) Sanshodhan Adhiniyam, 2012,	
Madhya Pradesh Bhoodan Yagna (Nirsan) Act, 1992,	
Madhya Pradesh Jan Shiksha Adhiniyam, 2002,	
Madhya Pradesh Public Trusts Act, 1951,	 1967_M_53.txt	 1976_S_193.txt	 1998_S_154.txt	 2011_A_40.txt	 1971_H_18.txt	 2003_B_44.txt	
Madhya Pradesh Griha Nirman Evam Adhosanrachana Vikas Mandal (Sanshodhan) Adhiniyam, 2012,	
Madhya Pradesh Lok Dhan (Shodhya Rashiyon Ki Vasuli) Act, 1987,	
Madhya Pradesh Vilasita, Manoranjan,	 Amod Evam Vigyapan Kar Adhiniyam	 2011	
Madhya Pradesh Resettlement and Rehabilitation of Displaced Persons (House Building Material Acquisition) Act, 1949,	
Madhya Pradesh Local Bodies Service Commission Act, 1950,	
Madhya Pradesh Shaskiya Sevak (Adhivarshiki-Ayu) Sanshodhan Adhiniyam, 2013,	
Madhya Pradesh Entry Tax (Sthaniya Kshetra Me Mal Ke Pravesh Par Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 1997,	
Madhya Pradesh Vat (Amendment) Act, 2015,	
Madhya Pradesh Vas-Sthan Dakhalkar (Bhumiswami Adhikaron Ka Pradan Kiya Jana) Adhiniyam, 1980,	
